Drivers,Overtaking,Defending,Consistency,Fuel,Tyre,Rain
Hamilton,113,101,107,95,88,120
Verstappen,120,101,88,113,95,107
Ricciardo,112,87,118,93,100,106
Leclerc,112,100,87,106,118,93
Bottas,98,105,111,117,92,86
Perez,86,92,111,105,98,117
Sainz,98,111,117,86,105,92
Russell,86,92,105,98,117,111
Gasly,116,85,97,103,91,110
Alonso,103,116,110,85,97,91
Raikkonen,108,83,90,115,96,102
Vettel,102,108,90,83,115,96
Norris,112,100,106,97,81,93
Stroll,88,95,82,101,107,113
Giovinazzi,81,87,112,106,93,100
Ocon,86,80,111,98,92,105
Latifi,96,108,83,90,102,77
Schumacher,106,93,81,87,100,75
Tsunoda,91,97,78,103,72,85
Mazepin,88,101,70,95,76,82
